# Program:featureCounts v2.0.0; Command:"featureCounts" "-a" "assembly/annotation.gff" "-F" "gff" "-t" "CDS" "-g" "ID" "-o" "assembly/counts.txt" "assembly/contigs.bam" 
Geneid	Chr	Start	End	Strand	Length	assembly/contigs.bam
LIHFGKIE_00044	NODE_1_length_164833_cov_14.237466	48706	49935	+	1230	158
LIHFGKIE_00045	NODE_1_length_164833_cov_14.237466	49946	50377	+	432	25
LIHFGKIE_00046	NODE_1_length_164833_cov_14.237466	50338	51186	+	849	76
LIHFGKIE_00047	NODE_1_length_164833_cov_14.237466	51200	51736	+	537	52
LIHFGKIE_00048	NODE_1_length_164833_cov_14.237466	51852	53018	+	1167	156
LIHFGKIE_00049	NODE_1_length_164833_cov_14.237466	53034	53195	+	162	0
LIHFGKIE_00050	NODE_1_length_164833_cov_14.237466	53185	53802	+	618	63
LIHFGKIE_00051	NODE_1_length_164833_cov_14.237466	53901	54440	+	540	76
LIHFGKIE_00052	NODE_1_length_164833_cov_14.237466	54536	55198	+	663	94
LIHFGKIE_00053	NODE_1_length_164833_cov_14.237466	55769	56806	+	1038	168
LIHFGKIE_00054	NODE_1_length_164833_cov_14.237466	56980	58578	+	1599	155
LIHFGKIE_00055	NODE_1_length_164833_cov_14.237466	58575	60158	+	1584	181
LIHFGKIE_00056	NODE_1_length_164833_cov_14.237466	60202	60921	-	720	78
LIHFGKIE_00057	NODE_1_length_164833_cov_14.237466	61310	61549	-	240	46
LIHFGKIE_00058	NODE_1_length_164833_cov_14.237466	61625	62194	+	570	50
LIHFGKIE_00059	NODE_1_length_164833_cov_14.237466	62195	62566	+	372	23
LIHFGKIE_00060	NODE_1_length_164833_cov_14.237466	62614	64929	-	2316	321
LIHFGKIE_00061	NODE_1_length_164833_cov_14.237466	65102	65206	+	105	27
LIHFGKIE_00062	NODE_1_length_164833_cov_14.237466	65461	65661	+	201	36
LIHFGKIE_00063	NODE_1_length_164833_cov_14.237466	65752	67119	-	1368	153
LIHFGKIE_00064	NODE_1_length_164833_cov_14.237466	67139	68629	-	1491	170
LIHFGKIE_00065	NODE_1_length_164833_cov_14.237466	68741	69976	+	1236	150
LIHFGKIE_00066	NODE_1_length_164833_cov_14.237466	69993	70856	+	864	83
LIHFGKIE_00067	NODE_1_length_164833_cov_14.237466	70883	71530	-	648	75
LIHFGKIE_00068	NODE_1_length_164833_cov_14.237466	71701	72579	+	879	156
LIHFGKIE_00069	NODE_1_length_164833_cov_14.237466	73821	73988	+	168	25
LIHFGKIE_00070	NODE_1_length_164833_cov_14.237466	74105	74671	+	567	76
LIHFGKIE_00071	NODE_1_length_164833_cov_14.237466	74742	75365	-	624	110
LIHFGKIE_00072	NODE_1_length_164833_cov_14.237466	77403	77615	+	213	73
LIHFGKIE_00073	NODE_1_length_164833_cov_14.237466	77840	79741	+	1902	249
LIHFGKIE_00074	NODE_1_length_164833_cov_14.237466	79768	79998	+	231	5
LIHFGKIE_00075	NODE_1_length_164833_cov_14.237466	79998	80543	+	546	39
LIHFGKIE_00076	NODE_1_length_164833_cov_14.237466	80563	81198	+	636	87
LIHFGKIE_00077	NODE_1_length_164833_cov_14.237466	81341	81442	+	102	37
LIHFGKIE_00078	NODE_1_length_164833_cov_14.237466	81869	82045	+	177	16
LIHFGKIE_00079	NODE_1_length_164833_cov_14.237466	82042	82245	+	204	11
LIHFGKIE_00080	NODE_1_length_164833_cov_14.237466	82387	82521	+	135	7
LIHFGKIE_00081	NODE_1_length_164833_cov_14.237466	82532	83899	+	1368	178
LIHFGKIE_00082	NODE_1_length_164833_cov_14.237466	84343	84504	-	162	44
LIHFGKIE_00083	NODE_1_length_164833_cov_14.237466	84959	85231	+	273	34
LIHFGKIE_00084	NODE_1_length_164833_cov_14.237466	85288	88038	+	2751	302
LIHFGKIE_00085	NODE_1_length_164833_cov_14.237466	88234	89943	+	1710	216
LIHFGKIE_00086	NODE_1_length_164833_cov_14.237466	89954	90559	+	606	68
LIHFGKIE_00087	NODE_1_length_164833_cov_14.237466	90587	91696	+	1110	99
LIHFGKIE_00088	NODE_1_length_164833_cov_14.237466	91677	92402	+	726	74
LIHFGKIE_00089	NODE_1_length_164833_cov_14.237466	92412	93068	+	657	58
LIHFGKIE_00090	NODE_1_length_164833_cov_14.237466	93073	94020	+	948	97
LIHFGKIE_00091	NODE_1_length_164833_cov_14.237466	94017	94913	+	897	79
LIHFGKIE_00092	NODE_1_length_164833_cov_14.237466	94991	95827	-	837	99
LIHFGKIE_00093	NODE_1_length_164833_cov_14.237466	96055	96231	+	177	38
LIHFGKIE_00094	NODE_1_length_164833_cov_14.237466	96392	96835	+	444	51
LIHFGKIE_00095	NODE_1_length_164833_cov_14.237466	96861	97820	+	960	93
LIHFGKIE_00096	NODE_1_length_164833_cov_14.237466	97823	98347	+	525	43
LIHFGKIE_00097	NODE_1_length_164833_cov_14.237466	98347	99249	+	903	139
LIHFGKIE_00098	NODE_1_length_164833_cov_14.237466	100719	101474	+	756	138
LIHFGKIE_00099	NODE_1_length_164833_cov_14.237466	101734	102651	+	918	163
LIHFGKIE_00100	NODE_1_length_164833_cov_14.237466	102644	104707	+	2064	299
LIHFGKIE_00101	NODE_1_length_164833_cov_14.237466	104737	106557	+	1821	228
LIHFGKIE_00102	NODE_1_length_164833_cov_14.237466	106573	107685	+	1113	117
LIHFGKIE_00103	NODE_1_length_164833_cov_14.237466	107732	108406	-	675	79
LIHFGKIE_00104	NODE_1_length_164833_cov_14.237466	108406	108846	-	441	43
LIHFGKIE_00105	NODE_1_length_164833_cov_14.237466	108947	109630	+	684	71
LIHFGKIE_00106	NODE_1_length_164833_cov_14.237466	109627	110424	+	798	76
LIHFGKIE_00107	NODE_1_length_164833_cov_14.237466	110443	111684	+	1242	176
LIHFGKIE_00108	NODE_1_length_164833_cov_14.237466	111991	112365	+	375	47
LIHFGKIE_00109	NODE_1_length_164833_cov_14.237466	112358	113065	+	708	61
LIHFGKIE_00110	NODE_1_length_164833_cov_14.237466	113065	113895	+	831	69
LIHFGKIE_00111	NODE_1_length_164833_cov_14.237466	113905	114714	+	810	79
LIHFGKIE_00112	NODE_1_length_164833_cov_14.237466	114735	115553	+	819	78
LIHFGKIE_00113	NODE_1_length_164833_cov_14.237466	115612	115800	-	189	6
LIHFGKIE_00114	NODE_1_length_164833_cov_14.237466	115871	116434	-	564	62
LIHFGKIE_00115	NODE_1_length_164833_cov_14.237466	116517	117269	+	753	59
LIHFGKIE_00116	NODE_1_length_164833_cov_14.237466	117322	118236	+	915	78
LIHFGKIE_00117	NODE_1_length_164833_cov_14.237466	118217	119590	+	1374	162
LIHFGKIE_00118	NODE_1_length_164833_cov_14.237466	119587	120378	+	792	74
LIHFGKIE_00119	NODE_1_length_164833_cov_14.237466	120431	121447	-	1017	90
LIHFGKIE_00120	NODE_1_length_164833_cov_14.237466	121459	122541	-	1083	106
LIHFGKIE_00121	NODE_1_length_164833_cov_14.237466	122584	123546	-	963	77
LIHFGKIE_00122	NODE_1_length_164833_cov_14.237466	123546	124454	-	909	92
LIHFGKIE_00123	NODE_1_length_164833_cov_14.237466	124533	128012	+	3480	431
LIHFGKIE_00124	NODE_1_length_164833_cov_14.237466	128015	131623	+	3609	423
LIHFGKIE_00125	NODE_1_length_164833_cov_14.237466	131639	134419	+	2781	299
LIHFGKIE_00126	NODE_1_length_164833_cov_14.237466	134422	134919	+	498	38
LIHFGKIE_00127	NODE_1_length_164833_cov_14.237466	134973	136271	+	1299	160
LIHFGKIE_00128	NODE_1_length_164833_cov_14.237466	136350	136994	+	645	68
LIHFGKIE_00129	NODE_1_length_164833_cov_14.237466	136997	137626	+	630	80
LIHFGKIE_00130	NODE_1_length_164833_cov_14.237466	137781	140093	-	2313	251
LIHFGKIE_00131	NODE_1_length_164833_cov_14.237466	140096	140725	-	630	53
LIHFGKIE_00132	NODE_1_length_164833_cov_14.237466	140794	141363	+	570	51
LIHFGKIE_00133	NODE_1_length_164833_cov_14.237466	141457	141867	+	411	62
LIHFGKIE_00134	NODE_1_length_164833_cov_14.237466	142328	143452	+	1125	156
LIHFGKIE_00135	NODE_1_length_164833_cov_14.237466	143456	144688	+	1233	151
LIHFGKIE_00136	NODE_1_length_164833_cov_14.237466	144738	145175	+	438	50
LIHFGKIE_00137	NODE_1_length_164833_cov_14.237466	145317	145940	-	624	98
LIHFGKIE_00138	NODE_1_length_164833_cov_14.237466	146361	146594	-	234	36
LIHFGKIE_00139	NODE_1_length_164833_cov_14.237466	146724	147080	+	357	37
LIHFGKIE_00140	NODE_1_length_164833_cov_14.237466	147178	147786	+	609	51
LIHFGKIE_00141	NODE_1_length_164833_cov_14.237466	147812	148468	+	657	59
LIHFGKIE_00142	NODE_1_length_164833_cov_14.237466	148515	149270	+	756	77
LIHFGKIE_00143	NODE_1_length_164833_cov_14.237466	149282	149833	+	552	63
LIHFGKIE_00144	NODE_1_length_164833_cov_14.237466	149996	150232	+	237	46
LIHFGKIE_00145	NODE_1_length_164833_cov_14.237466	150395	151573	-	1179	177
LIHFGKIE_00146	NODE_1_length_164833_cov_14.237466	151999	155055	+	3057	408
LIHFGKIE_00147	NODE_1_length_164833_cov_14.237466	155173	155808	-	636	88
LIHFGKIE_00148	NODE_1_length_164833_cov_14.237466	155907	157853	+	1947	237
LIHFGKIE_00149	NODE_1_length_164833_cov_14.237466	157872	160328	+	2457	316
LIHFGKIE_00150	NODE_1_length_164833_cov_14.237466	160476	161450	+	975	123
LIHFGKIE_00151	NODE_1_length_164833_cov_14.237466	161480	162415	+	936	84
LIHFGKIE_00152	NODE_1_length_164833_cov_14.237466	162502	163101	+	600	50
LIHFGKIE_00153	NODE_1_length_164833_cov_14.237466	163143	163508	-	366	48
LIHFGKIE_00154	NODE_1_length_164833_cov_14.237466	163810	164505	+	696	101
LIHFGKIE_00155	NODE_2_length_156941_cov_16.949188	1251	1847	-	597	143
LIHFGKIE_00156	NODE_2_length_156941_cov_16.949188	2254	3096	+	843	185
LIHFGKIE_00157	NODE_2_length_156941_cov_16.949188	3641	5392	+	1752	343
LIHFGKIE_00158	NODE_2_length_156941_cov_16.949188	5840	6307	-	468	66
LIHFGKIE_00159	NODE_2_length_156941_cov_16.949188	6342	6503	-	162	13
LIHFGKIE_00160	NODE_2_length_156941_cov_16.949188	6614	8557	-	1944	261
LIHFGKIE_00161	NODE_2_length_156941_cov_16.949188	8647	10446	-	1800	267
LIHFGKIE_00162	NODE_2_length_156941_cov_16.949188	10439	12205	-	1767	172
LIHFGKIE_00163	NODE_2_length_156941_cov_16.949188	12286	12504	-	219	10
LIHFGKIE_00164	NODE_2_length_156941_cov_16.949188	12571	12837	-	267	32
LIHFGKIE_00165	NODE_2_length_156941_cov_16.949188	12994	13620	+	627	71
LIHFGKIE_00166	NODE_2_length_156941_cov_16.949188	13659	14438	-	780	79
LIHFGKIE_00167	NODE_2_length_156941_cov_16.949188	14431	15090	-	660	121
LIHFGKIE_00168	NODE_2_length_156941_cov_16.949188	15440	16564	-	1125	159
LIHFGKIE_00169	NODE_2_length_156941_cov_16.949188	16676	17023	-	348	44
LIHFGKIE_00170	NODE_2_length_156941_cov_16.949188	17137	17856	-	720	85
LIHFGKIE_00171	NODE_2_length_156941_cov_16.949188	17846	18361	-	516	53
LIHFGKIE_00172	NODE_2_length_156941_cov_16.949188	18428	18700	-	273	34
LIHFGKIE_00173	NODE_2_length_156941_cov_16.949188	18788	20218	-	1431	157
LIHFGKIE_00174	NODE_2_length_156941_cov_16.949188	20222	20563	-	342	31
LIHFGKIE_00175	NODE_2_length_156941_cov_16.949188	20736	22166	+	1431	182
LIHFGKIE_00176	NODE_2_length_156941_cov_16.949188	22223	24049	-	1827	240
LIHFGKIE_00177	NODE_2_length_156941_cov_16.949188	24064	24810	-	747	81
LIHFGKIE_00178	NODE_2_length_156941_cov_16.949188	24943	25152	-	210	64
LIHFGKIE_00179	NODE_2_length_156941_cov_16.949188	25410	26831	-	1422	236
LIHFGKIE_00180	NODE_2_length_156941_cov_16.949188	26876	28174	-	1299	140
LIHFGKIE_00181	NODE_2_length_156941_cov_16.949188	28175	31744	-	3570	468
LIHFGKIE_00182	NODE_2_length_156941_cov_16.949188	31757	32446	-	690	71
LIHFGKIE_00183	NODE_2_length_156941_cov_16.949188	32553	34322	-	1770	311
LIHFGKIE_00184	NODE_2_length_156941_cov_16.949188	34521	36290	-	1770	334
LIHFGKIE_00185	NODE_2_length_156941_cov_16.949188	36504	37433	-	930	143
LIHFGKIE_00186	NODE_2_length_156941_cov_16.949188	37448	38407	-	960	131
LIHFGKIE_00187	NODE_2_length_156941_cov_16.949188	38410	39396	-	987	120
LIHFGKIE_00188	NODE_2_length_156941_cov_16.949188	39400	40416	-	1017	135
LIHFGKIE_00189	NODE_2_length_156941_cov_16.949188	40535	40777	-	243	13
LIHFGKIE_00190	NODE_2_length_156941_cov_16.949188	40808	41809	-	1002	113
LIHFGKIE_00191	NODE_2_length_156941_cov_16.949188	41829	43865	-	2037	273
LIHFGKIE_00192	NODE_2_length_156941_cov_16.949188	43868	45529	-	1662	256
LIHFGKIE_00193	NODE_2_length_156941_cov_16.949188	45551	45913	-	363	63
LIHFGKIE_00194	NODE_2_length_156941_cov_16.949188	46081	46266	+	186	56
LIHFGKIE_00195	NODE_2_length_156941_cov_16.949188	46726	47400	-	675	105
LIHFGKIE_00196	NODE_2_length_156941_cov_16.949188	47400	48050	-	651	70
LIHFGKIE_00197	NODE_2_length_156941_cov_16.949188	48063	48953	-	891	96
LIHFGKIE_00198	NODE_2_length_156941_cov_16.949188	48954	50984	-	2031	327
LIHFGKIE_00199	NODE_2_length_156941_cov_16.949188	50974	51729	-	756	84
LIHFGKIE_00200	NODE_2_length_156941_cov_16.949188	51734	53095	-	1362	147
LIHFGKIE_00201	NODE_2_length_156941_cov_16.949188	53046	53990	-	945	99
LIHFGKIE_00202	NODE_2_length_156941_cov_16.949188	54003	56402	-	2400	334
LIHFGKIE_00203	NODE_2_length_156941_cov_16.949188	56453	56677	-	225	9
LIHFGKIE_00204	NODE_2_length_156941_cov_16.949188	56683	57297	-	615	88
LIHFGKIE_00205	NODE_2_length_156941_cov_16.949188	57405	57842	-	438	53
LIHFGKIE_00206	NODE_2_length_156941_cov_16.949188	57835	59517	-	1683	165
LIHFGKIE_00207	NODE_2_length_156941_cov_16.949188	59528	60340	-	813	97
LIHFGKIE_00208	NODE_2_length_156941_cov_16.949188	60341	61210	-	870	105
LIHFGKIE_00209	NODE_2_length_156941_cov_16.949188	61213	61455	-	243	0
LIHFGKIE_00210	NODE_2_length_156941_cov_16.949188	61436	62803	-	1368	178
LIHFGKIE_00211	NODE_2_length_156941_cov_16.949188	62790	63641	-	852	125
LIHFGKIE_00212	NODE_2_length_156941_cov_16.949188	63696	64091	-	396	39
LIHFGKIE_00213	NODE_2_length_156941_cov_16.949188	64091	64522	-	432	25
LIHFGKIE_00214	NODE_2_length_156941_cov_16.949188	64541	65110	-	570	66
LIHFGKIE_00215	NODE_2_length_156941_cov_16.949188	65191	66300	-	1110	159
LIHFGKIE_00216	NODE_2_length_156941_cov_16.949188	66417	66707	-	291	36
LIHFGKIE_00217	NODE_2_length_156941_cov_16.949188	66726	67037	-	312	42
LIHFGKIE_00218	NODE_2_length_156941_cov_16.949188	67196	68032	-	837	143
LIHFGKIE_00219	NODE_2_length_156941_cov_16.949188	68116	69492	-	1377	199
LIHFGKIE_00220	NODE_2_length_156941_cov_16.949188	69651	70172	-	522	127
LIHFGKIE_00221	NODE_2_length_156941_cov_16.949188	70341	70520	-	180	25
LIHFGKIE_00222	NODE_2_length_156941_cov_16.949188	70568	72361	-	1794	245
LIHFGKIE_00223	NODE_2_length_156941_cov_16.949188	72365	73240	-	876	141
LIHFGKIE_00224	NODE_2_length_156941_cov_16.949188	73400	74638	-	1239	262
LIHFGKIE_00226	NODE_2_length_156941_cov_16.949188	75131	76027	+	897	152
LIHFGKIE_00227	NODE_2_length_156941_cov_16.949188	76040	76396	+	357	31
LIHFGKIE_00228	NODE_2_length_156941_cov_16.949188	76442	78022	-	1581	191
LIHFGKIE_00229	NODE_2_length_156941_cov_16.949188	78022	79602	-	1581	264
LIHFGKIE_00230	NODE_2_length_156941_cov_16.949188	79936	80751	-	816	143
LIHFGKIE_00231	NODE_2_length_156941_cov_16.949188	81018	81137	-	120	40
LIHFGKIE_00232	NODE_2_length_156941_cov_16.949188	81259	81519	-	261	34
LIHFGKIE_00233	NODE_2_length_156941_cov_16.949188	81642	81908	-	267	46
LIHFGKIE_00234	NODE_2_length_156941_cov_16.949188	82035	84416	+	2382	367
LIHFGKIE_00235	NODE_2_length_156941_cov_16.949188	84473	84910	-	438	35
LIHFGKIE_00236	NODE_2_length_156941_cov_16.949188	84926	85207	-	282	31
LIHFGKIE_00237	NODE_2_length_156941_cov_16.949188	85333	86196	-	864	192
LIHFGKIE_00238	NODE_2_length_156941_cov_16.949188	86341	87867	-	1527	246
LIHFGKIE_00239	NODE_2_length_156941_cov_16.949188	88131	91319	-	3189	486
LIHFGKIE_00240	NODE_2_length_156941_cov_16.949188	91312	92397	-	1086	162
LIHFGKIE_00241	NODE_2_length_156941_cov_16.949188	92397	93674	-	1278	148
LIHFGKIE_00242	NODE_2_length_156941_cov_16.949188	93674	94630	-	957	155
LIHFGKIE_00243	NODE_2_length_156941_cov_16.949188	94771	95313	-	543	89
LIHFGKIE_00244	NODE_2_length_156941_cov_16.949188	95482	96405	-	924	187
LIHFGKIE_00245	NODE_2_length_156941_cov_16.949188	96656	97360	+	705	122
LIHFGKIE_00246	NODE_2_length_156941_cov_16.949188	97362	98000	+	639	101
LIHFGKIE_00247	NODE_2_length_156941_cov_16.949188	98287	98598	+	312	81
LIHFGKIE_00248	NODE_2_length_156941_cov_16.949188	98869	100371	+	1503	230
LIHFGKIE_00249	NODE_2_length_156941_cov_16.949188	100424	100717	-	294	27
LIHFGKIE_00250	NODE_2_length_156941_cov_16.949188	100846	101508	+	663	88
LIHFGKIE_00251	NODE_2_length_156941_cov_16.949188	101523	102404	+	882	77
LIHFGKIE_00252	NODE_2_length_156941_cov_16.949188	102413	102727	+	315	16
LIHFGKIE_00253	NODE_2_length_156941_cov_16.949188	102775	103440	-	666	62
LIHFGKIE_00254	NODE_2_length_156941_cov_16.949188	103430	103780	-	351	49
LIHFGKIE_00255	NODE_2_length_156941_cov_16.949188	103922	105205	-	1284	259
LIHFGKIE_00256	NODE_2_length_156941_cov_16.949188	105202	105816	-	615	113
LIHFGKIE_00257	NODE_2_length_156941_cov_16.949188	106177	107457	-	1281	215
LIHFGKIE_00258	NODE_2_length_156941_cov_16.949188	107742	108941	+	1200	175
LIHFGKIE_00259	NODE_2_length_156941_cov_16.949188	108997	110493	-	1497	183
LIHFGKIE_00260	NODE_2_length_156941_cov_16.949188	110615	112114	-	1500	207
LIHFGKIE_00261	NODE_2_length_156941_cov_16.949188	112547	112801	+	255	67
LIHFGKIE_00262	NODE_2_length_156941_cov_16.949188	112956	113192	+	237	41
LIHFGKIE_00263	NODE_2_length_156941_cov_16.949188	113256	114032	-	777	97
LIHFGKIE_00264	NODE_2_length_156941_cov_16.949188	114084	114596	-	513	43
LIHFGKIE_00265	NODE_2_length_156941_cov_16.949188	114600	115004	-	405	27
LIHFGKIE_00266	NODE_2_length_156941_cov_16.949188	115014	116186	-	1173	142
LIHFGKIE_00267	NODE_2_length_156941_cov_16.949188	116233	117510	-	1278	158
LIHFGKIE_00268	NODE_2_length_156941_cov_16.949188	117519	118184	-	666	77
LIHFGKIE_00269	NODE_2_length_156941_cov_16.949188	118191	118805	-	615	116
LIHFGKIE_00270	NODE_2_length_156941_cov_16.949188	118977	120419	-	1443	238
LIHFGKIE_00271	NODE_2_length_156941_cov_16.949188	120431	122632	-	2202	345
LIHFGKIE_00272	NODE_2_length_156941_cov_16.949188	122642	123754	-	1113	156
LIHFGKIE_00273	NODE_2_length_156941_cov_16.949188	123781	124614	-	834	149
LIHFGKIE_00274	NODE_2_length_156941_cov_16.949188	124629	125504	-	876	122
LIHFGKIE_00275	NODE_2_length_156941_cov_16.949188	125517	126773	-	1257	210
LIHFGKIE_00276	NODE_2_length_156941_cov_16.949188	126960	127916	+	957	134
LIHFGKIE_00277	NODE_2_length_156941_cov_16.949188	127973	128206	-	234	25
LIHFGKIE_00278	NODE_2_length_156941_cov_16.949188	128339	129334	-	996	149
LIHFGKIE_00279	NODE_2_length_156941_cov_16.949188	129457	130926	-	1470	252
LIHFGKIE_00280	NODE_2_length_156941_cov_16.949188	130945	132108	-	1164	202
LIHFGKIE_00281	NODE_2_length_156941_cov_16.949188	132476	134482	-	2007	300
LIHFGKIE_00282	NODE_2_length_156941_cov_16.949188	134493	136412	-	1920	312
LIHFGKIE_00283	NODE_2_length_156941_cov_16.949188	136605	137612	-	1008	172
LIHFGKIE_00284	NODE_2_length_156941_cov_16.949188	137837	139717	+	1881	289
LIHFGKIE_00285	NODE_2_length_156941_cov_16.949188	139701	140651	+	951	138
LIHFGKIE_00286	NODE_2_length_156941_cov_16.949188	140759	141751	+	993	188
LIHFGKIE_00287	NODE_2_length_156941_cov_16.949188	141934	142641	-	708	117
LIHFGKIE_00288	NODE_2_length_156941_cov_16.949188	142657	143028	-	372	35
LIHFGKIE_00289	NODE_2_length_156941_cov_16.949188	143025	143609	-	585	70
LIHFGKIE_00290	NODE_2_length_156941_cov_16.949188	143623	144618	-	996	179
LIHFGKIE_00291	NODE_2_length_156941_cov_16.949188	144868	149583	-	4716	1062
LIHFGKIE_00292	NODE_2_length_156941_cov_16.949188	149853	151172	+	1320	283
LIHFGKIE_00293	NODE_2_length_156941_cov_16.949188	151165	151533	+	369	52
LIHFGKIE_00294	NODE_2_length_156941_cov_16.949188	151841	153928	-	2088	382
LIHFGKIE_00295	NODE_2_length_156941_cov_16.949188	154120	155568	+	1449	324
LIHFGKIE_00296	NODE_2_length_156941_cov_16.949188	156128	156421	+	294	100
LIHFGKIE_00297	NODE_3_length_144563_cov_45.849823	991	1272	-	282	221
LIHFGKIE_00299	NODE_3_length_144563_cov_45.849823	2197	2898	+	702	345
LIHFGKIE_00300	NODE_3_length_144563_cov_45.849823	2996	4225	+	1230	443
LIHFGKIE_00301	NODE_3_length_144563_cov_45.849823	4285	4542	-	258	65
LIHFGKIE_00302	NODE_3_length_144563_cov_45.849823	4593	4784	-	192	50
LIHFGKIE_00303	NODE_3_length_144563_cov_45.849823	4932	5810	-	879	430
LIHFGKIE_00304	NODE_3_length_144563_cov_45.849823	5926	6855	-	930	404
LIHFGKIE_00305	NODE_3_length_144563_cov_45.849823	6965	7900	-	936	462
LIHFGKIE_00306	NODE_3_length_144563_cov_45.849823	8068	9459	-	1392	567
LIHFGKIE_00307	NODE_3_length_144563_cov_45.849823	9479	9934	-	456	117
LIHFGKIE_00308	NODE_3_length_144563_cov_45.849823	9946	11967	-	2022	817
LIHFGKIE_00309	NODE_3_length_144563_cov_45.849823	12131	12367	-	237	87
LIHFGKIE_00310	NODE_3_length_144563_cov_45.849823	12395	12919	-	525	173
LIHFGKIE_00311	NODE_3_length_144563_cov_45.849823	12963	13259	-	297	126
LIHFGKIE_00312	NODE_3_length_144563_cov_45.849823	13477	15957	-	2481	1202
LIHFGKIE_00313	NODE_3_length_144563_cov_45.849823	15967	17931	-	1965	851
LIHFGKIE_00314	NODE_3_length_144563_cov_45.849823	17932	19059	-	1128	346
LIHFGKIE_00315	NODE_3_length_144563_cov_45.849823	19068	19289	-	222	87
LIHFGKIE_00316	NODE_3_length_144563_cov_45.849823	19506	20636	-	1131	496
LIHFGKIE_00317	NODE_3_length_144563_cov_45.849823	20811	22178	-	1368	635
LIHFGKIE_00318	NODE_3_length_144563_cov_45.849823	22654	22794	+	141	84
LIHFGKIE_00319	NODE_3_length_144563_cov_45.849823	22846	23214	+	369	53
